,ActivityID,ActivityParentID,RecAreaID,ActivityName,RecAreaActivityFeeDescription
0,4,,1486,AUTO TOURING,
1,5,,1486,BIKING,
2,9,,1486,CAMPING,
3,10,,1486,INTERPRETIVE PROGRAMS,
4,11,,1486,FISHING,
5,14,,1486,HIKING,
6,15,,1486,HORSEBACK RIDING,
7,16,,1486,HUNTING,
8,26,,1486,WILDLIFE VIEWING,
9,104,,1486,PHOTOGRAPHY,
10,105,,1486,PADDLING,
0,16,,1646,HUNTING,
1,26,,1646,WILDLIFE VIEWING,
0,5,,1354,BIKING,
1,6,,1354,BOATING,
2,11,,1354,FISHING,
3,14,,1354,HIKING,
4,15,,1354,HORSEBACK RIDING,
5,16,,1354,HUNTING,
6,26,,1354,WILDLIFE VIEWING,
7,104,,1354,PHOTOGRAPHY,
8,105,,1354,PADDLING,
0,6,,1382,BOATING,
1,10,,1382,INTERPRETIVE PROGRAMS,
2,11,,1382,FISHING,
3,14,,1382,HIKING,
4,26,,1382,WILDLIFE VIEWING,
5,103,,1382,ENVIRONMENTAL EDUCATION,
6,104,,1382,PHOTOGRAPHY,
0,4,,1011,AUTO TOURING,
1,5,,1011,BIKING,
2,6,,1011,BOATING,
3,9,,1011,CAMPING,
4,11,,1011,FISHING,
5,14,,1011,HIKING,
6,15,,1011,HORSEBACK RIDING,
7,16,,1011,HUNTING,
8,18,,1011,OFF HIGHWAY VEHICLE,
9,20,,1011,PICNICKING,
10,23,,1011,RECREATIONAL VEHICLES,
11,26,,1011,WILDLIFE VIEWING,
12,30,,1011,FIRE LOOKOUTS/CABINS OVERNIGHT,
13,106,,1011,SWIMMING,
14,109,,1011,HORSE CAMPING,
0,10,,1214,INTERPRETIVE PROGRAMS,
1,14,,1214,HIKING,
2,16,,1214,HUNTING,
3,26,,1214,WILDLIFE VIEWING,
4,103,,1214,ENVIRONMENTAL EDUCATION,
0,6,,1215,BOATING,
1,9,,1215,CAMPING,
2,11,,1215,FISHING,
3,14,,1215,HIKING,
4,20,,1215,PICNICKING,
5,23,,1215,RECREATIONAL VEHICLES,
6,25,,1215,WATER SPORTS,
0,4,,1581,AUTO TOURING,
1,8,,1581,HISTORIC & CULTURAL SITE,
2,10,,1581,INTERPRETIVE PROGRAMS,
3,11,,1581,FISHING,
4,14,,1581,HIKING,
5,16,,1581,HUNTING,
6,26,,1581,WILDLIFE VIEWING,
0,6,,1224,BOATING,
1,9,,1224,CAMPING,
2,11,,1224,FISHING,
3,16,,1224,HUNTING,
4,20,,1224,PICNICKING,
5,23,,1224,RECREATIONAL VEHICLES,
6,25,,1224,WATER SPORTS,
0,6,,2995,BOATING,
1,9,,2995,CAMPING,
2,10,,2995,INTERPRETIVE PROGRAMS,
3,11,,2995,FISHING,
4,24,,2995,VISITOR CENTER,
5,25,,2995,WATER SPORTS,
6,26,,2995,WILDLIFE VIEWING,
7,104,,2995,PHOTOGRAPHY,
8,105,,2995,PADDLING,
9,107,,2995,DIVING,
0,14,,10053302,HIKING,
1,26,,10053302,WILDLIFE VIEWING,
2,104,,10053302,PHOTOGRAPHY,
3,100002,,10053302,MOUNTAIN BIKING,
0,6,,1538,BOATING,
1,8,,1538,HISTORIC & CULTURAL SITE,
2,10,,1538,INTERPRETIVE PROGRAMS,
3,11,,1538,FISHING,
4,14,,1538,HIKING,
5,16,,1538,HUNTING,
6,24,,1538,VISITOR CENTER,
7,26,,1538,WILDLIFE VIEWING,
8,103,,1538,ENVIRONMENTAL EDUCATION,
9,104,,1538,PHOTOGRAPHY,
0,4,,1507,AUTO TOURING,
1,5,,1507,BIKING,
2,6,,1507,BOATING,
3,11,,1507,FISHING,
4,14,,1507,HIKING,
5,15,,1507,HORSEBACK RIDING,
6,16,,1507,HUNTING,
7,26,,1507,WILDLIFE VIEWING,
8,104,,1507,PHOTOGRAPHY,
0,4,,1650,AUTO TOURING,
1,10,,1650,INTERPRETIVE PROGRAMS,
2,14,,1650,HIKING,
3,26,,1650,WILDLIFE VIEWING,
0,5,,1447,BIKING,
1,6,,1447,BOATING,
2,10,,1447,INTERPRETIVE PROGRAMS,
3,11,,1447,FISHING,
4,14,,1447,HIKING,
5,16,,1447,HUNTING,
6,26,,1447,WILDLIFE VIEWING,
7,103,,1447,ENVIRONMENTAL EDUCATION,
8,104,,1447,PHOTOGRAPHY,
9,105,,1447,PADDLING,
0,5,,16822,BIKING,
1,6,,16822,BOATING,
2,7,,16822,CLIMBING,
3,9,,16822,CAMPING,
4,11,,16822,FISHING,
5,14,,16822,HIKING,
6,15,,16822,HORSEBACK RIDING,
7,16,,16822,HUNTING,
8,18,,16822,OFF HIGHWAY VEHICLE,
9,20,,16822,PICNICKING,
10,22,,16822,WINTER SPORTS,
11,23,,16822,RECREATIONAL VEHICLES,
12,24,,16822,VISITOR CENTER,
13,26,,16822,WILDLIFE VIEWING,
14,30,,16822,FIRE LOOKOUTS/CABINS OVERNIGHT,
15,106,,16822,SWIMMING,
16,109,,16822,HORSE CAMPING,
0,6,,259,BOATING,
1,9,,259,CAMPING,
2,11,,259,FISHING,
3,14,,259,HIKING,
4,20,,259,PICNICKING,
5,25,,259,WATER SPORTS,
6,26,,259,WILDLIFE VIEWING,
